********************************************************************************
Field Output Report, written Thu Jul 06 10:10:02 2017

Source 1
---------

   ODB: D:/Abaqus_working/3D_UNIAX_FORCE_ELASTIC_elem_20_160x120x120mm_intp_2_DIRECT.odb
   Step: Load
   Frame: Increment      5: Step Time =    5.000

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: RECTANGULARINSTANCE

    Node Label          U.U1          U.U2          U.U3
                      @Loc 1        @Loc 1        @Loc 1
---------------------------------------------------------
           215            4.    -600.0E-03        -1.200
           216            4.    -300.0E-03        -1.200
           217            4.           -0.        -1.200
           218            4.        -1.800    -900.0E-03
           219            4.          -1.5    -900.0E-03
           220            4.        -1.200    -900.0E-03
           221            4.    -900.0E-03    -900.0E-03
           222            4.    -600.0E-03    -900.0E-03
           223            4.    -300.0E-03    -900.0E-03
           224            4.           -0.    -900.0E-03
           225            4.        -1.800    -600.0E-03
           226            4.          -1.5    -600.0E-03
           227            4.        -1.200    -600.0E-03
           228            4.    -900.0E-03    -600.0E-03
           229            4.    -600.0E-03    -600.0E-03
           230            4.    -300.0E-03    -600.0E-03
           231            4.           -0.    -600.0E-03
           232            4.        -1.800    -300.0E-03
           233            4.          -1.5    -300.0E-03
           234            4.        -1.200    -300.0E-03
           235            4.    -900.0E-03    -300.0E-03
           236            4.    -600.0E-03    -300.0E-03
           237            4.    -300.0E-03    -300.0E-03
           238            4.           -0.    -300.0E-03
           239            4.        -1.800            0.
           240            4.          -1.5           -0.
           241            4.        -1.200           -0.
           242            4.    -900.0E-03            0.
           243            4.    -600.0E-03           -0.
           244            4.    -300.0E-03           -0.
           245            4.            0.           -0.
           246            3.        -1.800        -1.800
           247            3.          -1.5        -1.800
           248            3.        -1.200        -1.800
           249            3.    -900.0E-03        -1.800
           250            3.    -600.0E-03        -1.800
           251            3.    -300.0E-03        -1.800
           252            3.           -0.        -1.800
           253            3.        -1.800          -1.5
           254            3.          -1.5          -1.5
           255            3.        -1.200          -1.5
           256            3.    -900.0E-03          -1.5
           257            3.    -600.0E-03          -1.5
           258            3.    -300.0E-03          -1.5
           259            3.           -0.          -1.5
           260            3.        -1.800        -1.200
           261            3.          -1.5        -1.200
           262            3.        -1.200        -1.200
           263            3.    -900.0E-03        -1.200
           264            3.    -600.0E-03        -1.200
           265            3.    -300.0E-03        -1.200
           266            3.           -0.        -1.200
           267            3.        -1.800    -900.0E-03
           268            3.          -1.5    -900.0E-03
           269            3.        -1.200    -900.0E-03
           270            3.    -900.0E-03    -900.0E-03
           271            3.    -600.0E-03    -900.0E-03
           272            3.    -300.0E-03    -900.0E-03
           273            3.           -0.    -900.0E-03
           274            3.        -1.800    -600.0E-03
           275            3.          -1.5    -600.0E-03
           276            3.        -1.200    -600.0E-03
           277            3.    -900.0E-03    -600.0E-03
           278            3.    -600.0E-03    -600.0E-03
           279            3.    -300.0E-03    -600.0E-03
           280            3.           -0.    -600.0E-03
           281            3.        -1.800    -300.0E-03
           282            3.          -1.5    -300.0E-03
           283            3.        -1.200    -300.0E-03
           284            3.    -900.0E-03    -300.0E-03
           285            3.    -600.0E-03    -300.0E-03
           286            3.    -300.0E-03    -300.0E-03
           287            3.           -0.    -300.0E-03
           288            3.        -1.800           -0.
           289            3.          -1.5           -0.
           290            3.        -1.200           -0.
           291            3.    -900.0E-03           -0.
           292            3.    -600.0E-03           -0.
           293            3.    -300.0E-03           -0.
           294            3.           -0.           -0.
           295            2.        -1.800        -1.800
           296            2.          -1.5        -1.800
           297            2.        -1.200        -1.800
           298            2.    -900.0E-03        -1.800
           299            2.    -600.0E-03        -1.800
           300            2.    -300.0E-03        -1.800
           301            2.           -0.        -1.800
           302            2.        -1.800          -1.5
           303            2.          -1.5          -1.5
           304            2.        -1.200          -1.5
           305            2.    -900.0E-03          -1.5
           306            2.    -600.0E-03          -1.5
           307            2.    -300.0E-03          -1.5
           308            2.           -0.          -1.5
           309            2.        -1.800        -1.200
           310            2.          -1.5        -1.200
