********************************************************************************
Field Output Report, written Tue Jul 04 09:15:07 2017

Source 1
---------

   ODB: D:/Abaqus_working/2D_UNIAX_ELASTIC_elem_5_160x120mm_intp_1_DIRECT.odb
   Step: Load
   Frame: Increment      5: Step Time =    5.000

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: RECTANGULARINSTANCE

    Node Label          U.U1          U.U2
                      @Loc 1        @Loc 1
-------------------------------------------
           398      250.E-03    -900.0E-03
           399      500.E-03    -900.0E-03
           400      750.E-03    -900.0E-03
           401            1.    -900.0E-03
           402          1.25    -900.0E-03
           403           1.5    -900.0E-03
           404          1.75    -900.0E-03
           405            2.    -900.0E-03
           406          2.25    -900.0E-03
           407           2.5    -900.0E-03
           408          2.75    -900.0E-03
           409            3.    -900.0E-03
           410          3.25    -900.0E-03
           411           3.5    -900.0E-03
           412          3.75    -900.0E-03
           413            4.    -900.0E-03
           414          4.25    -900.0E-03
           415           4.5    -900.0E-03
           416          4.75    -900.0E-03
           417            5.    -900.0E-03
           418          5.25    -900.0E-03
           419           5.5    -900.0E-03
           420          5.75    -900.0E-03
           421            6.    -900.0E-03
           422          6.25    -900.0E-03
           423           6.5    -900.0E-03
           424          6.75    -900.0E-03
           425            7.    -900.0E-03
           426          7.25    -900.0E-03
           427           7.5    -900.0E-03
           428          7.75    -900.0E-03
           429            8.    -900.0E-03
           430     1.250E-33    -975.0E-03
           431      250.E-03    -975.0E-03
           432      500.E-03    -975.0E-03
           433      750.E-03    -975.0E-03
           434            1.    -975.0E-03
           435          1.25    -975.0E-03
           436           1.5    -975.0E-03
           437          1.75    -975.0E-03
           438            2.    -975.0E-03
           439          2.25    -975.0E-03
           440           2.5    -975.0E-03
           441          2.75    -975.0E-03
           442            3.    -975.0E-03
           443          3.25    -975.0E-03
           444           3.5    -975.0E-03
           445          3.75    -975.0E-03
           446            4.    -975.0E-03
           447          4.25    -975.0E-03
           448           4.5    -975.0E-03
           449          4.75    -975.0E-03
           450            5.    -975.0E-03
           451          5.25    -975.0E-03
           452           5.5    -975.0E-03
           453          5.75    -975.0E-03
           454            6.    -975.0E-03
           455          6.25    -975.0E-03
           456           6.5    -975.0E-03
           457          6.75    -975.0E-03
           458            7.    -975.0E-03
           459          7.25    -975.0E-03
           460           7.5    -975.0E-03
           461          7.75    -975.0E-03
           462            8.    -975.0E-03
           463     1.250E-33        -1.050
           464      250.E-03        -1.050
           465      500.E-03        -1.050
           466      750.E-03        -1.050
           467            1.        -1.050
           468          1.25        -1.050
           469           1.5        -1.050
           470          1.75        -1.050
           471            2.        -1.050
           472          2.25        -1.050
           473           2.5        -1.050
           474          2.75        -1.050
           475            3.        -1.050
           476          3.25        -1.050
           477           3.5        -1.050
           478          3.75        -1.050
           479            4.        -1.050
           480          4.25        -1.050
           481           4.5        -1.050
           482          4.75        -1.050
           483            5.        -1.050
           484          5.25        -1.050
           485           5.5        -1.050
           486          5.75        -1.050
           487            6.        -1.050
           488          6.25        -1.050
           489           6.5        -1.050
           490          6.75        -1.050
           491            7.        -1.050
           492          7.25        -1.050
           493           7.5        -1.050
           494          7.75        -1.050
           495            8.        -1.050
           496     1.250E-33        -1.125
           497      250.E-03        -1.125
           498      500.E-03        -1.125
