********************************************************************************
Field Output Report, written Wed Jul 05 10:41:20 2017

Source 1
---------

   ODB: D:/Abaqus_working/3D_SHEAR_ELASTIC_elem_20_160x120x120mm_intp_2_DIRECT.odb
   Step: Load
   Frame: Increment      5: Step Time =    5.000

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: RECTANGULARINSTANCE

    Node Label          U.U1          U.U2          U.U3
                      @Loc 1        @Loc 1        @Loc 1
---------------------------------------------------------
           197        -1.778            4.     245.5E-18
           198    -862.3E-03            4.     96.48E-18
           199    -340.0E-03            4.    -98.78E-18
           200     59.31E-18            4.    -135.0E-18
           201     340.0E-03            4.     19.82E-18
           202     862.3E-03            4.     7.283E-18
           203         1.778            4.    -12.65E-18
           204        -1.898            4.     44.58E-18
           205    -971.1E-03            4.     11.38E-18
           206    -398.6E-03            4.     19.59E-18
           207     191.0E-18            4.    -10.33E-18
           208     398.6E-03            4.     35.86E-18
           209     971.1E-03            4.    -226.6E-18
           210         1.898            4.     21.78E-18
           211        -1.917            4.     3.530E-18
           212        -1.004            4.    -107.9E-18
           213    -419.7E-03            4.    -2.397E-18
           214    -91.14E-18            4.    -53.69E-18
           215     419.7E-03            4.    -95.24E-18
           216         1.004            4.    -96.16E-18
           217         1.917            4.    -89.12E-18
           218        -1.906            4.     191.3E-18
           219        -1.006            4.     87.22E-18
           220    -422.6E-03            4.    -40.34E-18
           221    -59.44E-18            4.     71.04E-18
           222     422.6E-03            4.    -58.15E-18
           223         1.006            4.    -15.04E-18
           224         1.906            4.     255.6E-18
           225        -1.892            4.     82.55E-18
           226    -997.6E-03            4.     5.578E-18
           227    -419.3E-03            4.    -11.11E-18
           228    -7.999E-18            4.    -146.9E-18
           229     419.3E-03            4.     61.75E-18
           230     997.6E-03            4.    -29.59E-18
           231         1.892            4.     73.40E-18
           232        -1.881            4.     147.8E-18
           233    -990.4E-03            4.     160.7E-18
           234    -415.7E-03            4.     28.94E-18
           235    -143.7E-18            4.    -54.77E-18
           236     415.7E-03            4.     5.118E-18
           237     990.4E-03            4.    -2.322E-18
           238         1.881            4.     121.7E-18
           239        -1.878            4.     320.0E-36
           240    -987.7E-03            4.     309.5E-36
           241    -414.3E-03            4.     156.5E-36
           242    -21.04E-18            4.     33.43E-36
           243     414.3E-03            4.    -73.92E-36
           244     987.7E-03            4.    -189.7E-36
           245         1.878            4.    -320.0E-36
           246        -1.675         2.792     237.9E-03
           247    -798.5E-03         2.740     164.2E-03
           248    -310.5E-03         2.712     84.61E-03
           249    -52.62E-18         2.704    -27.63E-18
           250     310.5E-03         2.712    -84.61E-03
           251     798.5E-03         2.740    -164.2E-03
           252         1.675         2.792    -237.9E-03
           253        -1.791         2.853     175.3E-03
           254    -903.3E-03         2.800     125.0E-03
           255    -366.8E-03         2.772     65.56E-03
           256     236.7E-18         2.764    -33.28E-18
           257     366.8E-03         2.772    -65.56E-03
           258     903.3E-03         2.800    -125.0E-03
           259         1.791         2.853    -175.3E-03
           260        -1.810         2.888     118.8E-03
           261    -934.3E-03         2.830     88.35E-03
           262    -386.2E-03         2.799     47.17E-03
           263    -91.41E-18         2.790    -133.4E-18
           264     386.2E-03         2.799    -47.17E-03
           265     934.3E-03         2.830    -88.35E-03
           266         1.810         2.888    -118.8E-03
           267        -1.801         2.904     74.75E-03
           268    -935.0E-03         2.842     57.99E-03
           269    -388.5E-03         2.808     31.46E-03
           270     109.6E-18         2.799    -46.31E-18
           271     388.5E-03         2.808    -31.46E-03
           272     935.0E-03         2.842    -57.99E-03
           273         1.801         2.904    -74.75E-03
           274        -1.787         2.911     42.86E-03
           275    -927.2E-03         2.845     34.33E-03
           276    -385.1E-03         2.810     18.88E-03
           277    -10.13E-18         2.800    -27.84E-18
           278     385.1E-03         2.810    -18.88E-03
           279     927.2E-03         2.845    -34.33E-03
           280         1.787         2.911    -42.86E-03
           281        -1.778         2.913     19.37E-03
           282    -920.3E-03         2.846     15.82E-03
           283    -381.6E-03         2.810     8.778E-03
           284    -107.1E-18         2.799    -33.82E-18
           285     381.6E-03         2.810    -8.778E-03
           286     920.3E-03         2.846    -15.82E-03
           287         1.778         2.913    -19.37E-03
           288        -1.774         2.913     984.1E-36
           289    -917.8E-03         2.846     1.751E-33
           290    -380.3E-03         2.809     790.3E-36
           291     158.0E-18         2.798    -80.64E-36
           292     380.3E-03         2.809    -959.0E-36
           293     917.8E-03         2.846    -1.928E-33
           294         1.774         2.913    -984.1E-36
           295        -1.369         1.666     458.8E-03
           296    -606.8E-03         1.565     319.1E-03
           297    -227.3E-03         1.520     164.0E-03
           298    -38.92E-18         1.511    -60.65E-18
           299     227.3E-03         1.520    -164.0E-03
           300     606.8E-03         1.565    -319.1E-03
           301         1.369         1.666    -458.8E-03
           302        -1.474         1.777     334.7E-03
           303    -697.5E-03         1.673     241.1E-03
           304    -274.9E-03         1.631     126.4E-03
           305     243.3E-18         1.622    -122.9E-18
           306     274.9E-03         1.631    -126.4E-03
           307     697.5E-03         1.673    -241.1E-03
           308         1.474         1.777    -334.7E-03
           309        -1.492         1.836     222.5E-03
           310    -720.4E-03         1.722     168.2E-03
           311    -289.1E-03         1.673     90.05E-03
           312    -140.6E-18         1.664    -153.8E-18
           313     289.1E-03         1.673    -90.05E-03
           314     720.4E-03         1.722    -168.2E-03
           315         1.492         1.836    -222.5E-03
           316        -1.488         1.862     138.7E-03
           317    -719.2E-03         1.739     109.1E-03
           318    -289.5E-03         1.686     59.52E-03
           319     138.6E-18         1.674    -21.85E-18
           320     289.5E-03         1.686    -59.52E-03
           321     719.2E-03         1.739    -109.1E-03
           322         1.488         1.862    -138.7E-03
           323        -1.478         1.872     79.36E-03
           324    -712.3E-03         1.744     64.21E-03
           325    -286.2E-03         1.687     35.48E-03
           326    -876.6E-21         1.674    -48.04E-18
           327     286.2E-03         1.687    -35.48E-03
           328     712.3E-03         1.744    -64.21E-03
           329         1.478         1.872    -79.36E-03
           330        -1.471         1.876     35.86E-03
           331    -706.6E-03         1.745     29.50E-03
           332    -283.1E-03         1.685     16.44E-03
           333    -37.04E-18         1.672    -26.78E-18
           334     283.1E-03         1.685    -16.44E-03
           335     706.6E-03         1.745    -29.50E-03
           336         1.471         1.876    -35.86E-03
           337        -1.468         1.877     1.923E-33
           338    -704.5E-03         1.744     3.491E-33
           339    -282.0E-03         1.684     1.495E-33
           340     117.7E-18         1.671    -196.8E-36
           341     282.0E-03         1.684    -1.943E-33
           342     704.5E-03         1.744    -4.086E-33
           343         1.468         1.877    -1.923E-33
           344    -842.3E-03     689.8E-03     658.0E-03
           345    -323.5E-03     565.0E-03     456.1E-03
           346    -114.3E-03     531.5E-03     227.0E-03
           347    -64.70E-18     533.1E-03    -73.43E-18
           348     114.3E-03     531.5E-03    -227.0E-03
           349     323.5E-03     565.0E-03    -456.1E-03
           350     842.3E-03     689.8E-03    -658.0E-03
           351    -926.8E-03     837.2E-03     453.4E-03
           352    -384.5E-03     702.5E-03     334.8E-03
           353    -143.1E-03     667.4E-03     173.8E-03
           354     248.2E-18     669.2E-03    -33.46E-18
           355     143.1E-03     667.4E-03    -173.8E-03
           356     384.5E-03     702.5E-03    -334.8E-03
           357     926.8E-03     837.2E-03    -453.4E-03
           358    -948.0E-03     898.9E-03     293.6E-03
           359    -395.9E-03     747.7E-03     228.4E-03
           360    -149.6E-03     706.1E-03     122.3E-03
           361    -149.1E-18     707.2E-03    -60.07E-18
           362     149.6E-03     706.1E-03    -122.3E-03
           363     395.9E-03     747.7E-03    -228.4E-03
           364     948.0E-03     898.9E-03    -293.6E-03
           365    -948.7E-03     922.2E-03     181.4E-03
           366    -393.6E-03     759.0E-03     146.1E-03
           367    -148.7E-03     712.0E-03     79.92E-03
           368    -31.79E-18     712.1E-03    -13.67E-18
           369     148.7E-03     712.0E-03    -79.92E-03
           370     393.6E-03     759.0E-03    -146.1E-03
           371     948.7E-03     922.2E-03    -181.4E-03
           372    -944.7E-03     932.1E-03     103.8E-03
           373    -388.8E-03     761.4E-03     85.29E-03
           374    -146.2E-03     710.5E-03     47.33E-03
           375    -26.88E-18     709.7E-03    -27.47E-18
           376     146.2E-03     710.5E-03    -47.33E-03
           377     388.8E-03     761.4E-03    -85.29E-03
           378     944.7E-03     932.1E-03    -103.8E-03
           379    -940.9E-03     935.9E-03     46.99E-03
           380    -385.2E-03     761.1E-03     39.06E-03
           381    -144.1E-03     708.0E-03     21.85E-03
