********************************************************************************
Field Output Report, written Wed Jul 05 10:40:49 2017

Source 1
---------

   ODB: D:/Abaqus_working/2D_SHEAR_ELASTIC_elemSize_5_160x120mm_intp_2_DIRECT.odb
   Step: Load
   Frame: Increment      5: Step Time =    5.000

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: RECTANGULARINSTANCE

    Node Label          U.U1          U.U2
                      @Loc 1        @Loc 1
-------------------------------------------
           380     100.9E-03            4.
           381     100.4E-03         4.306
           382     98.82E-03         4.610
           383     96.22E-03         4.912
           384     92.63E-03         5.210
           385     88.07E-03         5.503
           386     82.62E-03         5.790
           387     76.33E-03         6.070
           388     69.32E-03         6.340
           389     61.69E-03         6.600
           390     53.56E-03         6.847
           391     45.08E-03         7.081
           392     36.36E-03         7.300
           393     27.49E-03         7.502
           394     18.51E-03         7.686
           395     9.379E-03         7.852
           396     106.3E-36            8.
           397     88.98E-36     89.02E-36
           398    -8.179E-18     147.9E-03
           399    -6.493E-18     314.0E-03
           400     27.07E-18     498.4E-03
           401     7.472E-18     700.4E-03
           402     55.18E-18     918.9E-03
           403     132.9E-18         1.153
           404     205.1E-18         1.400
           405     226.3E-18         1.660
           406     154.0E-18         1.930
           407     231.1E-18         2.209
           408     174.7E-18         2.496
           409     259.2E-18         2.790
           410    -191.6E-18         3.088
           411    -71.27E-18         3.390
           412    -50.87E-18         3.694
           413     129.2E-18            4.
           414     43.53E-18         4.306
           415     61.16E-18         4.610
           416     21.81E-18         4.912
           417     647.2E-18         5.210
           418     119.2E-18         5.504
           419     555.6E-18         5.791
           420     562.9E-18         6.070
           421     155.8E-18         6.340
           422     398.9E-18         6.600
           423     308.4E-18         6.847
           424     616.7E-18         7.081
           425     597.3E-18         7.300
           426     380.6E-18         7.502
           427     423.1E-18         7.686
           428     193.3E-18         7.852
           429     88.98E-36            8.
           430     71.30E-36     83.54E-36
           431    -9.379E-03     147.6E-03
           432    -18.51E-03     313.7E-03
