********************************************************************************
Field Output Report, written Fri Jun 30 12:56:54 2017

Source 1
---------

   ODB: D:/Abaqus_working/2D_SHEAR_ELASTIC_elemSize_5_160x120mm_intp_1_DIRECT.odb
   Step: Load
   Frame: Increment      5: Step Time =    5.000

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: RECTANGULARINSTANCE

    Node Label          U.U1          U.U2
                      @Loc 1        @Loc 1
-------------------------------------------
           403     20.78E-18         1.151
           404     30.12E-18         1.400
           405     98.48E-18         1.658
           406     15.26E-18         1.930
           407     129.7E-18         2.208
           408     23.25E-18         2.497
           409     114.7E-18         2.788
           410     33.98E-18         3.088
           411     122.7E-18         3.389
           412    -80.16E-18         3.694
           413     72.48E-18            4.
           414    -81.87E-18         4.306
           415     123.8E-18         4.611
           416    -38.93E-18         4.912
           417     89.56E-18         5.212
           418    -64.38E-18         5.503
           419     54.64E-18         5.792
           420    -38.18E-18         6.070
           421    -3.215E-18         6.342
           422    -27.39E-18         6.600
           423    -55.36E-18         6.849
           424    -25.90E-18         7.081
           425     91.41E-18         7.300
           426     61.63E-18         7.502
           427    -35.34E-18         7.686
           428    -174.8E-18         7.852
           429     250.0E-36            8.
           430     194.9E-36     248.4E-36
           431    -9.219E-03     147.8E-03
           432    -18.77E-03     313.8E-03
           433    -27.02E-03     497.9E-03
           434    -36.73E-03     700.3E-03
           435    -44.43E-03     918.0E-03
           436    -53.89E-03         1.153
           437    -61.04E-03         1.399
           438    -69.56E-03         1.660
           439    -75.82E-03         1.929
           440    -82.79E-03         2.210
           441    -87.74E-03         2.495
           442    -92.75E-03         2.790
           443    -96.03E-03         3.087
           444    -98.92E-03         3.390
           445    -100.3E-03         3.694
           446    -101.0E-03            4.
           447    -100.3E-03         4.306
           448    -98.92E-03         4.610
           449    -96.03E-03         4.913
           450    -92.75E-03         5.210
           451    -87.74E-03         5.505
           452    -82.79E-03         5.790
           453    -75.82E-03         6.071
           454    -69.56E-03         6.340
           455    -61.04E-03         6.601
           456    -53.89E-03         6.847
           457    -44.43E-03         7.082
           458    -36.73E-03         7.300
           459    -27.02E-03         7.502
           460    -18.77E-03         7.686
           461    -9.219E-03         7.852
           462     194.9E-36            8.
           463     140.8E-36     230.8E-36
           464    -19.29E-03     147.1E-03
           465    -36.83E-03     312.9E-03
           466    -56.44E-03     497.7E-03
           467    -72.58E-03     699.5E-03
           468    -92.23E-03     919.6E-03
           469    -107.4E-03         1.152
           470    -125.8E-03         1.402
           471    -139.5E-03         1.660
           472    -155.3E-03         1.933
           473    -166.7E-03         2.210
           474    -178.8E-03         2.499
           475    -187.2E-03         2.790
           476    -195.1E-03         3.090
           477    -199.9E-03         3.390
           478    -203.5E-03         3.695
           479    -204.1E-03            4.
           480    -203.5E-03         4.305
           481    -199.9E-03         4.610
           482    -195.1E-03         4.910
           483    -187.2E-03         5.210
           484    -178.8E-03         5.501
           485    -166.7E-03         5.790
           486    -155.3E-03         6.067
           487    -139.5E-03         6.340
           488    -125.8E-03         6.598
           489    -107.4E-03         6.848
           490    -92.23E-03         7.080
           491    -72.58E-03         7.301
           492    -56.44E-03         7.502
           493    -36.83E-03         7.687
           494    -19.29E-03         7.853
           495     140.8E-36            8.
           496     76.95E-36     207.5E-36
           497    -28.54E-03     146.1E-03
           498    -58.37E-03     311.9E-03
           499    -84.03E-03     496.5E-03
           500    -114.5E-03     700.6E-03
           501    -138.6E-03     919.2E-03
           502    -168.2E-03         1.156
           503    -190.5E-03         1.403
           504    -216.9E-03         1.665
           505    -236.3E-03         1.934
           506    -257.6E-03         2.215
           507    -272.8E-03         2.500
           508    -288.0E-03         2.794
           509    -298.1E-03         3.090
           510    -306.8E-03         3.393
           511    -311.0E-03         3.695
           512    -313.1E-03            4.
           513    -311.0E-03         4.305
           514    -306.8E-03         4.607
           515    -298.1E-03         4.910
           516    -288.0E-03         5.206
           517    -272.8E-03         5.500
           518    -257.6E-03         5.785
           519    -236.3E-03         6.066
           520    -216.9E-03         6.335
           521    -190.5E-03         6.597
           522    -168.2E-03         6.844
           523    -138.6E-03         7.081
           524    -114.5E-03         7.299
           525    -84.03E-03         7.504
           526    -58.37E-03         7.688
           527    -28.54E-03         7.854
           528     76.95E-36            8.
           529     15.11E-36     187.8E-36
           530    -40.63E-03     144.8E-03
           531    -77.51E-03     310.2E-03
           532    -119.5E-03     496.8E-03
           533    -153.7E-03     700.0E-03
           534    -195.7E-03     923.3E-03
           535    -227.8E-03         1.157
           536    -266.7E-03         1.410
           537    -295.6E-03         1.667
           538    -328.2E-03         1.941
           539    -352.1E-03         2.217
           540    -376.8E-03         2.506
           541    -394.2E-03         2.796
           542    -410.2E-03         3.095
           543    -420.0E-03         3.393
           544    -427.2E-03         3.697
           545    -428.6E-03            4.
           546    -427.2E-03         4.303
           547    -420.0E-03         4.607
           548    -410.2E-03         4.905
           549    -394.2E-03         5.204
           550    -376.8E-03         5.494
           551    -352.1E-03         5.783
           552    -328.2E-03         6.059
           553    -295.6E-03         6.333
           554    -266.7E-03         6.590
           555    -227.8E-03         6.843
           556    -195.7E-03         7.077
           557    -153.7E-03         7.300
           558    -119.5E-03         7.503
           559    -77.51E-03         7.690
           560    -40.63E-03         7.855
           561     15.11E-36            8.
           562    -64.38E-36     159.4E-36
           563    -50.70E-03     143.3E-03
           564    -104.8E-03     309.7E-03
           565    -150.7E-03     495.8E-03
           566    -206.6E-03     704.2E-03
           567    -249.9E-03     924.7E-03
           568    -303.3E-03         1.166
           569    -343.3E-03         1.413
           570    -389.7E-03         1.678
           571    -424.0E-03         1.945
           572    -460.6E-03         2.227
           573    -487.3E-03         2.510
           574    -513.0E-03         2.803
           575    -530.4E-03         3.097
           576    -544.9E-03         3.397
           577    -552.2E-03         3.697
           578    -555.6E-03            4.
           579    -552.2E-03         4.303
           580    -544.9E-03         4.603
           581    -530.4E-03         4.903
           582    -513.0E-03         5.197
           583    -487.3E-03         5.490
           584    -460.6E-03         5.773
           585    -424.0E-03         6.055
           586    -389.7E-03         6.322
           587    -343.3E-03         6.587
           588    -303.3E-03         6.834
           589    -249.9E-03         7.075
           590    -206.6E-03         7.296
           591    -150.7E-03         7.504
           592    -104.8E-03         7.690
           593    -50.70E-03         7.857
           594    -64.38E-36            8.
           595    -138.7E-36     138.2E-36
           596    -66.74E-03     142.2E-03
           597    -126.9E-03     308.4E-03
           598    -197.8E-03     499.7E-03
           599    -254.2E-03     705.9E-03
           600    -324.5E-03     935.3E-03
           601    -377.5E-03         1.170
           602    -440.3E-03         1.426
           603    -487.2E-03         1.683
           604    -538.3E-03         1.958
           605    -576.3E-03         2.232
           606    -614.1E-03         2.520
           607    -641.3E-03         2.807
           608    -665.5E-03         3.103
           609    -680.8E-03         3.399
           610    -691.5E-03         3.700
           611    -694.0E-03            4.
           612    -691.5E-03         4.300
           613    -680.8E-03         4.601
           614    -665.5E-03         4.897
           615    -641.3E-03         5.193
           616    -614.1E-03         5.480
           617    -576.3E-03         5.768
           618    -538.3E-03         6.042
           619    -487.2E-03         6.317
           620    -440.3E-03         6.574
           621    -377.5E-03         6.830
           622    -324.5E-03         7.065
           623    -254.2E-03         7.294
           624    -197.8E-03         7.500
           625    -126.9E-03         7.692
           626    -66.74E-03         7.858
           627    -138.7E-36            8.
           628    -246.7E-36     104.2E-36
           629    -78.44E-03     141.0E-03
           630    -165.2E-03     311.5E-03
           631    -236.9E-03     501.7E-03
           632    -327.1E-03     718.7E-03
           633    -395.3E-03     941.5E-03
           634    -478.0E-03         1.188
           635    -539.8E-03         1.435
           636    -608.4E-03         1.701
           637    -660.0E-03         1.966
           638    -712.7E-03         2.247
           639    -751.8E-03         2.526
           640    -788.2E-03         2.817
           641    -813.5E-03         3.107
           642    -833.8E-03         3.404
           643    -844.5E-03         3.701
           644    -849.1E-03            4.
           645    -844.5E-03         4.299
           646    -833.8E-03         4.596
           647    -813.5E-03         4.893
           648    -788.2E-03         5.183
           649    -751.8E-03         5.474
           650    -712.7E-03         5.753
           651    -660.0E-03         6.034
           652    -608.4E-03         6.299
           653    -539.8E-03         6.565
           654    -478.0E-03         6.812
           655    -395.3E-03         7.058
           656    -327.1E-03         7.281
           657    -236.9E-03         7.498
           658    -165.2E-03         7.688
           659    -78.44E-03         7.859
           660    -246.7E-36            8.
           661    -339.8E-36     84.98E-36
           662    -102.6E-03     142.5E-03
           663    -193.2E-03     313.5E-03
           664    -306.5E-03     516.7E-03
           665    -392.5E-03     726.9E-03
           666    -499.9E-03     965.4E-03
           667    -579.4E-03         1.200
